id,processor_family_id,code_name_id,photo_file_name,photo_content_type,photo_file_size,created_at,updated_at
1,36,82,amd_k5.jpg,image/jpeg,147463,"2014-11-17 00:08:35.201505","2014-11-17 00:08:35.201505"
2,37,83,amd_k6.jpg,image/jpeg,36014,"2014-11-17 00:08:35.657418","2014-11-17 00:08:35.657418"
3,38,85,amd_k6_2.jpg,image/jpeg,105666,"2014-11-17 00:08:36.037447","2014-11-17 00:08:36.037447"
4,39,87,amd_k6_3.jpg,image/jpeg,149763,"2014-11-17 00:08:36.616732","2014-11-17 00:08:36.616732"
5,50,107,cyrix_m1.jpg,image/jpeg,200205,"2014-11-17 00:08:37.143862","2014-11-17 00:08:37.143862"
6,50,108,cyrix_m2.jpg,image/jpeg,161557,"2014-11-17 00:08:37.608434","2014-11-17 00:08:37.608434"
7,52,110,alpha_21064.jpg,image/jpeg,281200,"2014-11-17 00:08:38.227379","2014-11-17 00:08:38.227379"
8,53,111,alpha_21064.jpg,image/jpeg,281200,"2014-11-17 00:08:38.903235","2014-11-17 00:08:38.903235"
9,55,113,alpha_21164.jpg,image/jpeg,70227,"2014-11-17 00:08:39.346884","2014-11-17 00:08:39.346884"
10,56,114,alpha_21164.jpg,image/jpeg,70227,"2014-11-17 00:08:39.883972","2014-11-17 00:08:39.883972"
11,62,121,alpha_21364.jpg,image/jpeg,65513,"2014-11-17 00:08:40.410308","2014-11-17 00:08:40.410308"
12,70,,hitachi_harp1.jpg,image/jpeg,82620,"2014-11-17 00:08:40.892018","2014-11-17 00:08:40.892018"
13,72,127,hp7100.jpg,image/jpeg,71024,"2014-11-17 00:08:41.432235","2014-11-17 00:08:41.432235"
14,76,,hp7300lc.jpg,image/jpeg,179749,"2014-11-17 00:08:41.936918","2014-11-17 00:08:41.936918"
15,77,130,hp8000.jpg,image/jpeg,166469,"2014-11-17 00:08:42.492207","2014-11-17 00:08:42.492207"
16,79,131,hp8500.jpg,image/jpeg,72657,"2014-11-17 00:08:42.938334","2014-11-17 00:08:42.938334"
17,81,133,hp8700.jpg,image/jpeg,89824,"2014-11-17 00:08:43.566899","2014-11-17 00:08:43.566899"
18,84,,ibmpower3.jpg,image/jpeg,1081229,"2014-11-17 00:08:44.539693","2014-11-17 00:08:44.539693"
19,96,,ppc_601.jpg,image/jpeg,162728,"2014-11-17 00:08:45.001137","2014-11-17 00:08:45.001137"
20,92,,ppc_602.jpg,image/jpeg,170215,"2014-11-17 00:08:45.550857","2014-11-17 00:08:45.550857"
21,93,,ppc_603.jpg,image/jpeg,185857,"2014-11-17 00:08:46.060701","2014-11-17 00:08:46.060701"
22,98,,ppc_603e.jpg,image/jpeg,140376,"2014-11-17 00:08:46.479502","2014-11-17 00:08:46.479502"
23,99,,ppc_603ev.jpg,image/jpeg,298203,"2014-11-17 00:08:47.024126","2014-11-17 00:08:47.024126"
24,100,,ppc_604.jpg,image/jpeg,194620,"2014-11-17 00:08:47.565605","2014-11-17 00:08:47.565605"
25,94,,ppc_620.jpg,image/jpeg,124656,"2014-11-17 00:08:48.038851","2014-11-17 00:08:48.038851"
26,90,138,ppc_750.jpg,image/jpeg,61226,"2014-11-17 00:08:48.491460","2014-11-17 00:08:48.491460"
27,106,,intel_4004.jpg,image/jpeg,577087,"2014-11-17 00:08:49.265227","2014-11-17 00:08:49.265227"
28,107,,intel_8008.jpg,image/jpeg,565216,"2014-11-17 00:08:50.204412","2014-11-17 00:08:50.204412"
29,108,,intel_8080.jpg,image/jpeg,689235,"2014-11-17 00:08:51.038243","2014-11-17 00:08:51.038243"
30,110,,intel_8088.jpg,image/jpeg,513032,"2014-11-17 00:08:51.814020","2014-11-17 00:08:51.814020"
31,111,,intel_286.jpg,image/jpeg,484735,"2014-11-17 00:08:52.455564","2014-11-17 00:08:52.455564"
32,112,,intel_386.jpg,image/jpeg,488444,"2014-11-17 00:08:53.249239","2014-11-17 00:08:53.249239"
33,113,,intel_486.jpg,image/jpeg,365416,"2014-11-17 00:08:54.000463","2014-11-17 00:08:54.000463"
34,114,,intel_486.jpg,image/jpeg,365416,"2014-11-17 00:08:54.626487","2014-11-17 00:08:54.626487"
35,115,,intel_486.jpg,image/jpeg,365416,"2014-11-17 00:08:55.305548","2014-11-17 00:08:55.305548"
36,21,152,intel_itanium.jpg,image/jpeg,132302,"2014-11-17 00:08:55.779407","2014-11-17 00:08:55.779407"
37,15,153,intel_itanium_mckinley.jpg,image/jpeg,78149,"2014-11-17 00:08:56.259503","2014-11-17 00:08:56.259503"
38,14,154,intel_pentium.jpg,image/jpeg,465614,"2014-11-17 00:08:57.033875","2014-11-17 00:08:57.033875"
39,10,10,intel_pentium4_northwood.jpg,image/jpeg,293326,"2014-11-17 00:08:57.729216","2014-11-17 00:08:57.729216"
40,10,19,intel_pentium4.jpg,image/jpeg,4422794,"2014-11-17 00:08:59.611971","2014-11-17 00:08:59.611971"
41,120,,intel_pentium2.jpg,image/jpeg,191835,"2014-11-17 00:09:00.255686","2014-11-17 00:09:00.255686"
42,11,18,intel_pentium3.jpg,image/jpeg,194583,"2014-11-17 00:09:00.748748","2014-11-17 00:09:00.748748"
43,122,,intel_pentiumpro.jpg,image/jpeg,425678,"2014-11-17 00:09:01.683469","2014-11-17 00:09:01.683469"
44,8,36,intel_penryn_45_nm_penryn_die.jpg,image/jpeg,46036,"2014-11-17 00:09:02.062150","2014-11-17 00:09:02.062150"
45,8,38,wolfdale-die.jpg,image/jpeg,53354,"2014-11-17 00:09:02.790058","2014-11-17 00:09:02.790058"
46,8,14,merom_die.jpg,image/jpeg,78320,"2014-11-17 00:09:03.273718","2014-11-17 00:09:03.273718"
47,19,37,yorkfield.jpg,image/jpeg,43994,"2014-11-17 00:09:03.983227","2014-11-17 00:09:03.983227"
48,6,7,Yonah-Core_Duo-65nm.jpg,image/jpeg,318474,"2014-11-17 00:09:04.676170","2014-11-17 00:09:04.676170"
49,24,46,clark_arran.jpg,image/jpeg,94929,"2014-11-17 00:09:05.281156","2014-11-17 00:09:05.281156"
50,24,47,clark_arran.jpg,image/jpeg,94929,"2014-11-17 00:09:05.835689","2014-11-17 00:09:05.835689"
51,22,47,clark_arran.jpg,image/jpeg,94929,"2014-11-17 00:09:06.274416","2014-11-17 00:09:06.274416"
52,20,41,bloomfield-die.jpg,image/jpeg,93404,"2014-11-17 00:09:06.837793","2014-11-17 00:09:06.837793"
53,123,160,mips_r10000.jpg,image/jpeg,194645,"2014-11-17 00:09:07.475099","2014-11-17 00:09:07.475099"
54,124,,mips_r2000.jpg,image/jpeg,564882,"2014-11-17 00:09:08.205546","2014-11-17 00:09:08.205546"
55,126,,mips_r4000.jpg,image/jpeg,272011,"2014-11-17 00:09:08.860580","2014-11-17 00:09:08.860580"
56,130,,mips_r8000int.jpg,image/jpeg,79867,"2014-11-17 00:09:09.365031","2014-11-17 00:09:09.365031"
57,137,,mot68020.jpg,image/jpeg,464594,"2014-11-17 00:09:10.019255","2014-11-17 00:09:10.019255"
58,144,,mips_r12k.jpg,image/jpeg,37857,"2014-11-17 00:09:10.457997","2014-11-17 00:09:10.457997"
59,151,170,ultrasparc.jpg,image/jpeg,22126,"2014-11-17 00:09:10.860700","2014-11-17 00:09:10.860700"
60,160,,zilog_z80_cpu.jpg,image/jpeg,618378,"2014-11-17 00:09:11.659331","2014-11-17 00:09:11.659331"
