id,technology_id,fanout,delay,vdd,gate_type,source,created_at,updated_at
1,68,1,7,2.5,nmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1,"2014-11-17 00:01:24.644283","2014-11-17 00:01:24.644283"
2,68,1,14,2.5,pmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1,"2014-11-17 00:01:24.661226","2014-11-17 00:01:24.661226"
3,69,1,10,3.3,nmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1,"2014-11-17 00:01:24.674970","2014-11-17 00:01:24.674970"
4,69,1,17,3.3,pmos,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=383414&tag=1,"2014-11-17 00:01:24.688135","2014-11-17 00:01:24.688135"
5,65,1,10.75,1.5,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=746320&tag=1,"2014-11-17 00:01:24.702134","2014-11-17 00:01:24.702134"
6,65,1,13,1.3,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=746320&tag=1,"2014-11-17 00:01:24.721290","2014-11-17 00:01:24.721290"
7,62,1,4.25,1.2,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1609318,"2014-11-17 00:01:24.733445","2014-11-17 00:01:24.733445"
8,62,2,6.65,1.2,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4418914&tag=1,"2014-11-17 00:01:24.746224","2014-11-17 00:01:24.746224"
9,61,2,5.1,1.1,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4418914&tag=1,"2014-11-17 00:01:24.757696","2014-11-17 00:01:24.757696"
10,45,1,90,3.3,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921,"2014-11-17 00:01:24.771304","2014-11-17 00:01:24.771304"
11,45,6.5,660,3.3,nand2,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921,"2014-11-17 00:01:24.784520","2014-11-17 00:01:24.784520"
12,45,1,125,2.5,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921,"2014-11-17 00:01:24.797902","2014-11-17 00:01:24.797902"
13,45,1,80,4,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=5436921,"2014-11-17 00:01:24.812363","2014-11-17 00:01:24.812363"
14,48,4.5,185,2.5,nand2,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=127489,"2014-11-17 00:01:24.826371","2014-11-17 00:01:24.826371"
15,48,1,38,2.5,inv,http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=127489,"2014-11-17 00:01:24.840093","2014-11-17 00:01:24.840093"
16,37,4,16.2,1.4,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5388676&tag=1,"2014-11-17 00:01:24.855917","2014-11-17 00:01:24.855917"
17,36,4,12.6,1.35,inv,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5388676&tag=1,"2014-11-17 00:01:24.870271","2014-11-17 00:01:24.870271"
18,27,1,5.7,1,inv,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf,"2014-11-17 00:01:24.885365","2014-11-17 00:01:24.885365"
19,27,1,8.7,1,nand2,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf,"2014-11-17 00:01:24.897823","2014-11-17 00:01:24.897823"
20,26,1,7,1,inv,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf,"2014-11-17 00:01:24.911507","2014-11-17 00:01:24.911507"
21,26,1,11.4,1,nand2,http://www.fujitsu.com/downloads/MICRO/fma/pr/PressKit/65nmProcessTechnology.pdf,"2014-11-17 00:01:24.926863","2014-11-17 00:01:24.926863"
22,33,4,297,5,inv,"weste & harris","2014-11-17 00:01:24.941598","2014-11-17 00:01:24.941598"
23,33,4,427,3.3,inv,"weste & harris","2014-11-17 00:01:24.956948","2014-11-17 00:01:24.956948"
24,110,4,75.6,1.8,inv,"weste & harris","2014-11-17 00:01:24.969832","2014-11-17 00:01:24.969832"
